Date,High,Low,Close
17-08-2022 03:01:00,23938.70000000,23922.61000000,23925.23000000
17-08-2022 03:02:00,23931.59000000,23924.73000000,23928.14000000
17-08-2022 03:03:00,23926.01000000,23895.40000000,23916.04000000
17-08-2022 03:04:00,23930.71000000,23921.62000000,23930.71000000
17-08-2022 03:05:00,23938.77000000,23929.80000000,23938.77000000
17-08-2022 03:06:00,23974.26000000,23938.92000000,23955.77000000
17-08-2022 03:07:00,23963.27000000,23948.74000000,23963.27000000
17-08-2022 03:08:00,23966.47000000,23958.26000000,23966.47000000
17-08-2022 03:09:00,23966.95000000,23956.05000000,23964.11000000
17-08-2022 03:10:00,23965.21000000,23953.84000000,23953.84000000
17-08-2022 03:11:00,23960.15000000,23960.15000000,23960.15000000
17-08-2022 03:12:00,23976.09000000,23969.60000000,23973.41000000
17-08-2022 03:13:00,23972.55000000,23971.00000000,23971.00000000
17-08-2022 03:14:00,23972.47000000,23960.28000000,23960.28000000
17-08-2022 03:15:00,23961.78000000,23952.41000000,23952.41000000
17-08-2022 03:16:00,23943.92000000,23939.48000000,23940.55000000
17-08-2022 03:17:00,23940.42000000,23935.48000000,23937.41000000
17-08-2022 03:18:00,23939.87000000,23925.41000000,23926.94000000
17-08-2022 03:19:00,23935.28000000,23931.25000000,23935.28000000
17-08-2022 03:20:00,23933.50000000,23923.45000000,23926.80000000
17-08-2022 03:21:00,23930.93000000,23924.16000000,23928.70000000
17-08-2022 03:22:00,23930.19000000,23928.95000000,23929.47000000
17-08-2022 03:23:00,23939.27000000,23933.36000000,23939.27000000
17-08-2022 03:24:00,23940.26000000,23925.66000000,23936.80000000
17-08-2022 03:25:00,23944.37000000,23934.36000000,23944.37000000
17-08-2022 03:26:00,23941.01000000,23933.02000000,23934.85000000
17-08-2022 03:27:00,23940.36000000,23932.60000000,23937.17000000
17-08-2022 03:28:00,23945.28000000,23935.67000000,23943.26000000
17-08-2022 03:29:00,23945.11000000,23931.19000000,23931.19000000
17-08-2022 03:30:00,23939.33000000,23927.37000000,23933.82000000
17-08-2022 03:31:00,23946.24000000,23934.52000000,23939.85000000
17-08-2022 03:32:00,23948.74000000,23938.28000000,23947.62000000
17-08-2022 03:33:00,23948.74000000,23941.36000000,23943.86000000
17-08-2022 03:34:00,23945.91000000,23932.51000000,23945.24000000
17-08-2022 03:35:00,23947.41000000,23938.83000000,23938.98000000
17-08-2022 03:36:00,23951.04000000,23940.99000000,23951.04000000
17-08-2022 03:37:00,23956.93000000,23950.59000000,23951.31000000
17-08-2022 03:38:00,23950.29000000,23934.26000000,23934.26000000
17-08-2022 03:39:00,23932.18000000,23924.80000000,23930.61000000
17-08-2022 03:40:00,23949.41000000,23932.68000000,23945.94000000
17-08-2022 03:41:00,23948.05000000,23939.37000000,23942.35000000
17-08-2022 03:42:00,23945.67000000,23937.95000000,23939.26000000
17-08-2022 03:43:00,23939.41000000,23935.68000000,23937.46000000
17-08-2022 03:44:00,23937.61000000,23929.81000000,23930.39000000
17-08-2022 03:45:00,23936.37000000,23930.08000000,23933.18000000
17-08-2022 03:46:00,23932.31000000,23921.00000000,23921.00000000
17-08-2022 03:47:00,23922.07000000,23903.22000000,23914.02000000
17-08-2022 03:48:00,23918.40000000,23914.17000000,23917.85000000
17-08-2022 03:49:00,23932.68000000,23918.15000000,23932.32000000
17-08-2022 03:50:00,23934.62000000,23924.18000000,23928.32000000
17-08-2022 03:51:00,23966.54000000,23926.13000000,23957.46000000
17-08-2022 03:52:00,23967.74000000,23957.45000000,23962.63000000
17-08-2022 03:53:00,23962.72000000,23950.56000000,23962.72000000
17-08-2022 03:54:00,23971.24000000,23959.58000000,23968.57000000
17-08-2022 03:55:00,23988.65000000,23970.91000000,23988.18000000
17-08-2022 03:56:00,23994.94000000,23971.28000000,23971.28000000
17-08-2022 03:57:00,23976.81000000,23952.08000000,23959.19000000
17-08-2022 03:58:00,23975.39000000,23952.99000000,23972.55000000
17-08-2022 03:59:00,23982.03000000,23972.20000000,23979.81000000
17-08-2022 04:00:00,23978.15000000,23975.05000000,23975.05000000
17-08-2022 04:01:00,23976.33000000,23965.33000000,23968.42000000
17-08-2022 04:02:00,23985.83000000,23972.31000000,23972.31000000
17-08-2022 04:03:00,23976.47000000,23965.35000000,23976.47000000
17-08-2022 04:04:00,23992.19000000,23980.82000000,23988.51000000
17-08-2022 04:05:00,23987.27000000,23978.57000000,23978.57000000
17-08-2022 04:06:00,23977.97000000,23960.30000000,23960.30000000
17-08-2022 04:07:00,23965.11000000,23938.87000000,23938.87000000
17-08-2022 04:08:00,23954.35000000,23945.76000000,23952.17000000
